review_text,rating,sentiment
I used this on my dashcam that records 720p continuous for 12 hours without fail. Also used this on my Zoom H1.,5.0,2
"spoke with customer service had it replaced 3 times, card had problems all of the times, they were all the time looking for ways to get out of the warranty until they decided i did something which obviously wasn't the problem because it happened 3 times with the previous cards, basically look into other companies that honer their warranties,very sad usually very good cards,they kept saying that Samsung updated the software and they update it in ways that it wont match the Sandisk cards.??",1.0,0
Slow and expensive- better options out there,3.0,1
"I have purchased two of these 64gb sd cards and used them in an Android phone, and in a video recorder.After about 3 months usage in my phone, the card would randomly unmount and it took many remounts or reboots to get the card to work again.  Eventually, it stopped accepting writes at all, and couldn't even be formatted... although I could see what was on there.I repurchased the card, and after a couple months, the same thing happened again: random unmounts.  I moved the card to a video recorder, where it worked for a while... but even with a different usage pattern, it died again.I have had no problems with 32GB cards so far.  I'm staying away from this generation of 64GB cards.----EDIT----Getting these cards RMA'd was quick and easy.  I had a Lexar 128GB SD card die too, and I sent the cards in all at the same time.  I haven't gotten an update from Lexar, but I got updates AND my replacement from SanDisk.  Supposedly there was something fixed in this new card revision.  I hope so.",1.0,0
Easy install in to the S4 and expansion of memory was completed with out issue.  Product works as it is advertised.,5.0,2
"Hard to believe that 10 years ago you would have needed a big hard drive to have this much room. I use this card in my Samsung Y Duos Smartphone and it provides more than enough room for my entire music library, a bunch of movies, and all of the apps for my phone and I still have more than 3/4 of the space left.Works perfectly and I've always had good luck with SanDisk products.",5.0,2
"This SanDisk UHS-1 TF Card is in good quality.However, it is not working as fast as the Class 10 standard. For operating a series of 4KB files, it can only read at ~2.6MB/s and write at 1.5MB/s.Compared to the SAMSUNG UHS-1 microsd, the SAMSUNG UHS-1 card can at least process 5MB of 4KB files per second, either reading or writing. For reading/writing giant files, This Sandisk card can reach &#62;30MB/S for reading and &#62;15MB/s for writing, which is acceptable for this price, but still a bit lower than SAMSUNG.",3.0,1
"I bought this card to replace a lost 16 gig in my phone, (HTC G2). Seems to be working perfectly, so I will recommend to all. WAIT!!! read on...I had this card in my phone for a little over a month when it messed up. The phone stop recognizing the card, tried it in the computer and it was not recognized either. I contacted San-disk and they did send me out a replacement but I lost the few pictures I had on the original card. I could have sent the card to San-disk's data recovery people and they would have charged me $275.00 if they were able to recover the data and nothing if they couldn't. A bit to rich for me so I passed and unfortunately lost the photos.",3.0,1
"Use it in Sammy Tab 2, formatted in a HTC phone, then put in in the tab 2......",5.0,2
"This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising.",3.0,1
Works fine with photo shooting and video recording in EOS camera with the SD adapter. Perfect for tablet and phone memory.,4.0,2
"I purhcased this card for my Hero 3 cam.  It worked all of last year, or the 3-4 times i used it.  I used it again this year and had some great once in a  life time ski videos and the card failed.  It could not be read or reformatted.  I lost all my vids.  It was strictly used in my hero 3 cam.  I pulled it out to try to retreive the vids using several PC's, multiple card readers, and recovery software but no good. I have never known a card to fail and I am extremely disappointed.Try another brand.  Next time I will use multiple cards with smaller storage and a different brand.",1.0,0
"This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising.",3.0,1
"Not much to say about this, but it was definitely worth the buy. It comes w/ a small case to hold both itself and the adapter. For just over $10 you really can't go wrong.",5.0,2
This doesn't work on the galaxy note 10.1. It is getting detected however it is not being utilized by the note 10.1.,1.0,0
Crashed... Lost everything... Thanks SanDisk.  Used in gs4..not a solid product couple years worth of stuff gone in an instant.,1.0,0
"Formatted card with SDFormatter 3.1PC used to test this card Sony vaio C2D sz645 + vaio memory card adapter VGP-MCA20A.h2testw 1.4 test results:Test finished without errors.Writing speed: 6.94 MByte/sReading speed: 12.5 MByte/sH2testw v1.4Android phone Samsung Exhibit 2SDTools test result:9.3MB/s write21.3MB/s readAlso tested write speed with an older model Sandisk usb 2.0 sd card reader and cheap generic unbranded reader, get about same results. I don't have any devices that can handle UHS-1 ""ultra"" speed of this card. Seems like a class 6 card or none of my gadgets can handle 10MB/s write speed or it's a class 6 card sold as class 10.",3.0,1
