text,sentiment
"I bought this to expand the memory on my MS Surface, it works perfectly, my music and photo are perfectly stored and it works like a charm",2
"Hello,Great card, great price. Plenty of speed and worked for...about a year. In fact, I wish it had stopped working a month earlier.It looks like Sandisk is out to make sure their cards stop working perfectly after the return window is up or something, because now on the end of December (Return window expired about 20 days ago) this thing only intermittently is recognized. It unmounts all the time in my phone and then gets remounted, and usually it doesn't even remount.While it was a good price, it was a good price for a name brand card that would have lasted longer than a year instead of Sandisk going &#34;ahaha got you good, now you have to buy another expensive name-brand card!&#34;Nope, I'll buy a cheaper alternative and it'll probably last longer. I still have some Kingston's going strong.",0
"I join the long list of customers who have had their SanDisk die on them.  Customer service from SanDisk has been helpful.  They pay for UPS shipping for the return and promise a 7-10 day turn around once the defective disk has been returned.  Still it's a pain to deal with and I lost some photographs.UPDATE: SanDisk sent me a replacement and it seems to be working.  If the replacement goes bad, I'll be back to complain:)SECOND UPDATE: All is well with the replacement so I'm giving it three stars.",1
"If you have a Contour camera you want to use this with. It will not format! Don't even bother.Now I have room for about 16,000 photos. Not what I wanted.",0
"Love Sandisk, never had a problem with them and still have not. Popped this into my Samsung Galaxy Relay 4g running Android 4.0.4 and the phone detected it without a problem. Has the write speeds expected and gets the job done. Would recommend a different card if you plan to go to 64gb, buy the Samsung UHS-1 SDXC, writes at much higher speeds and has less lag. Would buy this again for the cheap price, fifty elsewhere.Sincerely, iSklcndykid",2
I plugged this into my Samsung Galaxy 4 and it works great. When I plug the phone into the pc it is recognized and can easily transfer files. This card is recofnized by the phone and works as it should. I would recommend,2
not sure if it's the card or computer but it only shows up as 32 gig. i tried reformating it and everything and it still says 32gigs.,1
"SanDisk makes a lot of claims about this card and some of them are questionable. I own two, and while the high-capacity/low-price certainly makes them useful, they're not the answer to all of my recording needs. First of all, do not use this with a GoPro Hero 3 (or later model). Despite SanDisk's claims, these cards cannot handle the demands of true HD recording. GoPro removed it from their list of recommended cards because it caused the cameras to lock up and turn off. Even with myCanon VIXIA HF10 Flash Memory High Definition Camcorder--technology which is over 10 years old--the SanDisk Ultra card does not meet the requirements for shooting in FXP mode (1920x1080, 17Mbps) even though the camera says only a class 4 is required. A firmware update to the GoPro 'fixed' the issue for Hero 3 and Hero 3+ cameras, but it did so by throttling the recording speed for the cards, i.e. lowering the quality of the recording slightly.Those shortcomings aside, the SanDisk Ultra can shoot in XP+ mode (1440 x 1080) on the Vixia HF10 and it works with all of the settings of aContourROAM Waterproof HD 1080P. Is it ""water-proof, temperature proof, X-ray proof, shock proof""? I can't say. The ContourROAM is a waterproof camera, so even non-waterproof cards are safe for submersion if they're in the housing. The Ultra has functioned in 10 weather and after being dropped, so there's validity to the claim of it being temperature- and shock-proof. I guess I'll find out whether it's x-ray-proof the next time I go through the airport...",1
"Do you need memory? This is 32GB of it in a MicroSDHC package. If that is the format you need and if this is selling at a price you like, then just get it and get on with your day. You've probably got better things, like that old episode of Gunsmoke you've been meaning to get to, or a nice walk along a cliff face. Possibly even something else. The point is that memory shopping shouldn't take you a long time. You should just do it. The amount of time it's taken you to read this is way more time than one should ever have to invest in considering a memory purchase. Have a lovely mid-to-late-morning, whenever that might next occur in your vicinity. Cheers.",2
The 64gb version does not seem as reliable as the lower gb versions. I have had to reformat this card twice .. a real nuisance. When its working .. it does well.,1
