review_text,rating,sentiment,cleaned_text
I used this on my dashcam that records 720p continuous for 12 hours without fail. Also used this on my Zoom H1.,5.0,2,used this dashcam record 720p continuous hour without fail also used this zoom
"spoke with customer service had it replaced 3 times, card had problems all of the times, they were all the time looking for ways to get out of the warranty until they decided i did something which obviously wasn't the problem because it happened 3 times with the previous cards, basically look into other companies that honer their warranties,very sad usually very good cards,they kept saying that Samsung updated the software and they update it in ways that it wont match the Sandisk cards.??",1.0,0,spoke customer service had replaced time card had problem time were time looking way get warranty decided did something obviously was not_the problem because happened time previous card basically look company honer warranty sad usually good card kept saying samsung updated software update way will not_match sandisk cards.
Slow and expensive- better options out there,3.0,1,slow expensive better option
"I have purchased two of these 64gb sd cards and used them in an Android phone, and in a video recorder.After about 3 months usage in my phone, the card would randomly unmount and it took many remounts or reboots to get the card to work again.  Eventually, it stopped accepting writes at all, and couldn't even be formatted... although I could see what was on there.I repurchased the card, and after a couple months, the same thing happened again: random unmounts.  I moved the card to a video recorder, where it worked for a while... but even with a different usage pattern, it died again.I have had no problems with 32GB cards so far.  I'm staying away from this generation of 64GB cards.----EDIT----Getting these cards RMA'd was quick and easy.  I had a Lexar 128GB SD card die too, and I sent the cards in all at the same time.  I haven't gotten an update from Lexar, but I got updates AND my replacement from SanDisk.  Supposedly there was something fixed in this new card revision.  I hope so.",1.0,0,have purchased two 64gb card used android phone video recorder.after month usage phone card would randomly unmount took many remount reboots get card work eventually stopped accepting writes could not_even formatted ... although could see was there.i repurchased card couple month same thing happened random unmounts moved card video recorder worked ... even different usage pattern died again.i have had no_problems 32gb card far staying away this generation 64gb cards.editgetting card rmad was quick easy had lexar 128gb card die sent card same time have not_gotten update lexar got update replacement sandisk supposedly was something fixed this new card revision hope
Easy install in to the S4 and expansion of memory was completed with out issue.  Product works as it is advertised.,5.0,2,easy install expansion memory was completed issue product work advertised
"Hard to believe that 10 years ago you would have needed a big hard drive to have this much room. I use this card in my Samsung Y Duos Smartphone and it provides more than enough room for my entire music library, a bunch of movies, and all of the apps for my phone and I still have more than 3/4 of the space left.Works perfectly and I've always had good luck with SanDisk products.",5.0,2,hard believe year ago would have needed big hard drive have this much room use this card samsung duo smartphone provides enough room entire music library bunch movie apps phone still have space left.works perfectly have always had good luck sandisk product
"This SanDisk UHS-1 TF Card is in good quality.However, it is not working as fast as the Class 10 standard. For operating a series of 4KB files, it can only read at ~2.6MB/s and write at 1.5MB/s.Compared to the SAMSUNG UHS-1 microsd, the SAMSUNG UHS-1 card can at least process 5MB of 4KB files per second, either reading or writing. For reading/writing giant files, This Sandisk card can reach &#62;30MB/S for reading and &#62;15MB/s for writing, which is acceptable for this price, but still a bit lower than SAMSUNG.",3.0,1,this sandisk uhs1 card good quality.however not_working fast class standard operating series 4kb file can read 2.6mbs write 1.5mbs.compared samsung uhs1 microsd samsung uhs1 card can least process 5mb 4kb file per second either reading writing readingwriting giant file this sandisk card can reach 6230mbs reading 6215mbs writing acceptable this price still bit lower samsung
"I bought this card to replace a lost 16 gig in my phone, (HTC G2). Seems to be working perfectly, so I will recommend to all. WAIT!!! read on...I had this card in my phone for a little over a month when it messed up. The phone stop recognizing the card, tried it in the computer and it was not recognized either. I contacted San-disk and they did send me out a replacement but I lost the few pictures I had on the original card. I could have sent the card to San-disk's data recovery people and they would have charged me $275.00 if they were able to recover the data and nothing if they couldn't. A bit to rich for me so I passed and unfortunately lost the photos.",3.0,1,bought this card replace lost gig phone htc seems working perfectly will recommend wait read ... had this card phone little month messed phone stop recognizing card tried computer was not_recognized either contacted sandisk did send replacement lost picture had original card could have sent card sandisks data recovery people would have charged 275.00 were able recover data nothing_if could not bit rich passed unfortunately lost photo
"Use it in Sammy Tab 2, formatted in a HTC phone, then put in in the tab 2......",5.0,2,use sammy tab formatted htc phone put tab ... ...
"This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising.",3.0,1,this card advertises uhs1 actually uhs50.this mean will not_go sdr104 speedsthroughput.not necessary bad false advertising
